underlying,expiry,strike,option_type,bid,ask,iv,open_interest,volume,trade_date
NVDA,2025-04-04,745.0,put,0.1,0.11,0.230271,422,69,2025-03-05
GOOGL,2025-03-28,140.0,call,34.56,36.4,0.215693,1543,695,2025-03-03
NVDA,2025-03-21,1005.0,put,124.77,130.56,0.186361,272,45,2025-03-04
AAPL,2025-05-02,160.0,put,0.08,0.08,0.186813,4902,1623,2025-03-07
AMZN,2025-03-14,155.0,put,0.01,0.01,0.239493,618,267,2025-03-03
AAPL,2025-04-11,155.0,put,0.01,0.01,0.207774,311,107,2025-03-07
AMZN,2025-03-21,235.0,put,38.45,40.52,0.187421,445,168,2025-03-05
NVDA,2025-03-28,720.0,call,152.05,162.68,0.219398,121,4,2025-03-04
MSFT,2025-04-11,330.0,call,83.88,89.64,0.223487,404,19,2025-03-03
MSFT,2025-04-11,365.0,call,50.91,52.98,0.187763,385,138,2025-03-05
GOOGL,2025-03-28,150.0,call,24.79,26.08,0.208493,474,97,2025-03-07
GOOGL,2025-03-28,180.0,put,6.2,6.37,0.205848,546,342,2025-03-05
MSFT,2025-04-11,445.0,put,28.79,29.83,0.179099,633,85,2025-03-04
NVDA,2025-03-07,1005.0,put,126.41,133.04,0.194957,144,31,2025-03-05
NVDA,2025-03-28,790.0,call,86.53,89.64,0.215533,1841,353,2025-03-04
AMZN,2025-04-11,225.0,call,0.07,0.08,0.201505,604,8,2025-03-05
NVDA,2025-04-11,830.0,call,53.75,55.38,0.200953,215,56,2025-03-05
NVDA,2025-03-28,1005.0,call,0.03,0.03,0.198223,1181,561,2025-03-07
AMZN,2025-04-18,205.0,call,2.26,2.32,0.201598,197,30,2025-03-04
GOOGL,2025-04-18,170.0,call,8.41,8.65,0.205458,839,19,2025-03-04
MSFT,2025-03-21,340.0,put,0.01,0.01,0.241233,1169,41,2025-03-06
NVDA,2025-03-14,720.0,put,0.01,0.01,0.223182,140,63,2025-03-06
AMZN,2025-03-21,230.0,call,0.01,0.01,0.192469,1018,129,2025-03-05
AMZN,2025-04-11,165.0,put,0.03,0.03,0.217593,495,220,2025-03-03
MSFT,2025-04-04,490.0,call,0.02,0.02,0.198351,140,26,2025-03-03
NVDA,2025-03-21,895.0,put,24.09,24.7,0.192774,791,99,2025-03-07
GOOGL,2025-03-21,195.0,call,0.04,0.04,0.211198,229,119,2025-03-03
AMZN,2025-04-04,200.0,call,2.27,2.34,0.177216,480,91,2025-03-04
NVDA,2025-04-04,1005.0,put,123.39,128.74,0.202726,2205,1010,2025-03-05
AAPL,2025-04-04,190.0,call,2.54,2.64,0.197854,75,2,2025-03-03
MSFT,2025-04-18,330.0,call,84.69,89.46,0.200284,697,182,2025-03-03
MSFT,2025-04-11,415.0,call,11.39,11.64,0.205792,11134,562,2025-03-07
NVDA,2025-05-02,855.0,put,16.45,16.85,0.208459,766,10,2025-03-07
MSFT,2025-04-04,500.0,put,80.85,85.19,0.186641,799,83,2025-03-06
AAPL,2025-04-25,165.0,call,21.0,21.92,0.195028,71,16,2025-03-03
NVDA,2025-04-25,790.0,call,90.12,93.36,0.186263,352,140,2025-03-06
AMZN,2025-03-21,195.0,put,3.31,3.39,0.208132,72,35,2025-03-03
AAPL,2025-03-21,185.0,put,2.89,2.95,0.207889,4012,1096,2025-03-06
GOOGL,2025-03-21,165.0,put,0.35,0.37,0.217618,111,28,2025-03-04
GOOGL,2025-04-11,165.0,call,11.59,11.93,0.199387,1571,157,2025-03-04
AMZN,2025-03-28,230.0,call,0.01,0.01,0.206359,1692,84,2025-03-03
GOOGL,2025-04-18,170.0,put,2.71,2.78,0.22389,544,108,2025-03-07
AAPL,2025-03-07,220.0,call,0.01,0.01,0.222261,330,64,2025-03-06
AAPL,2025-03-28,180.0,call,7.19,7.39,0.207855,229,60,2025-03-04
NVDA,2025-03-28,765.0,call,0.0,114.71,0.202677,58,24,2025-03-06
AAPL,2025-04-25,220.0,put,32.6,34.26,0.172943,69,11,2025-03-03
NVDA,2025-04-04,1005.0,put,122.51,129.39,0.202422,23,4,2025-03-04
MSFT,2025-03-28,425.0,call,4.62,4.73,0.202953,223,49,2025-03-06
NVDA,2025-04-11,720.0,put,0.01,0.01,0.199903,283,57,2025-03-06
AMZN,2025-04-11,200.0,call,3.38,3.48,0.201585,228,131,2025-03-03
MSFT,2025-04-11,445.0,call,2.82,2.91,0.213815,280,10,2025-03-03
AAPL,2025-03-07,215.0,put,29.21,30.62,0.218045,175,16,2025-03-04
NVDA,2025-03-28,720.0,call,153.39,160.94,0.202057,191,11,2025-03-06
AMZN,2025-04-25,235.0,call,0.02,0.02,0.183417,253,27,2025-03-06
GOOGL,2025-03-28,190.0,put,14.51,15.0,0.219846,251,74,2025-03-03
NVDA,2025-04-11,855.0,call,36.9,38.05,0.209954,318,21,2025-03-04
NVDA,2025-04-11,1030.0,call,0.1,0.11,0.191402,201,52,2025-03-03
GOOGL,2025-03-21,150.0,put,0.01,0.01,0.233535,733,454,2025-03-05
